year,city,area,table,cat1,cat2,metric,value
2007,那覇市,南部,accommodation_type,hotel_ryokan,,facilities,92
2007,糸満市,南部,accommodation_type,hotel_ryokan,,facilities,3
2007,豊見城市,南部,accommodation_type,hotel_ryokan,,facilities,0
2007,八重瀬町,南部,accommodation_type,hotel_ryokan,,facilities,1
2007,南城市,南部,accommodation_type,hotel_ryokan,,facilities,2
2007,与那原町,南部,accommodation_type,hotel_ryokan,,facilities,0
2007,南風原町,南部,accommodation_type,hotel_ryokan,,facilities,0
2007,南部,未分類,accommodation_type,hotel_ryokan,,facilities,98
2007,沖縄市,中部,accommodation_type,hotel_ryokan,,facilities,13
2007,宜野湾市,中部,accommodation_type,hotel_ryokan,,facilities,2
2007,浦添市,中部,accommodation_type,hotel_ryokan,,facilities,4
2007,うるま市,中部,accommodation_type,hotel_ryokan,,facilities,11
2007,読谷村,中部,accommodation_type,hotel_ryokan,,facilities,4
2007,嘉手納町,中部,accommodation_type,hotel_ryokan,,facilities,1
2007,北谷町,中部,accommodation_type,hotel_ryokan,,facilities,9
2007,北中城村,中部,accommodation_type,hotel_ryokan,,facilities,1
2007,中城村,中部,accommodation_type,hotel_ryokan,,facilities,0
2007,西原町,中部,accommodation_type,hotel_ryokan,,facilities,2
2007,中部,未分類,accommodation_type,hotel_ryokan,,facilities,47
2007,名護市,北部,accommodation_type,hotel_ryokan,,facilities,16
2007,国頭村,北部,accommodation_type,hotel_ryokan,,facilities,8
2007,大宜味村,北部,accommodation_type,hotel_ryokan,,facilities,0
2007,東村,北部,accommodation_type,hotel_ryokan,,facilities,1
2007,今帰仁村,北部,accommodation_type,hotel_ryokan,,facilities,2
2007,本部町,北部,accommodation_type,hotel_ryokan,,facilities,9
2007,恩納村,北部,accommodation_type,hotel_ryokan,,facilities,16
2007,宜野座村,北部,accommodation_type,hotel_ryokan,,facilities,1
2007,金武町,北部,accommodation_type,hotel_ryokan,,facilities,1
2007,北部,未分類,accommodation_type,hotel_ryokan,,facilities,54
2007,宮古島市,宮古,accommodation_type,hotel_ryokan,,facilities,34
2007,多良間村,宮古,accommodation_type,hotel_ryokan,,facilities,0
2007,宮古,未分類,accommodation_type,hotel_ryokan,,facilities,34
2007,石垣市,八重山,accommodation_type,hotel_ryokan,,facilities,43
2007,竹富町,八重山,accommodation_type,hotel_ryokan,,facilities,16
2007,与那国町,八重山,accommodation_type,hotel_ryokan,,facilities,8
2007,八重山,未分類,accommodation_type,hotel_ryokan,,facilities,67
2007,久米島町,離島,accommodation_type,hotel_ryokan,,facilities,6
2007,渡嘉敷村,離島,accommodation_type,hotel_ryokan,,facilities,2
2007,座間味村,離島,accommodation_type,hotel_ryokan,,facilities,3
2007,粟国村,離島,accommodation_type,hotel_ryokan,,facilities,1
2007,渡名喜村,離島,accommodation_type,hotel_ryokan,,facilities,0
2007,南大東村,離島,accommodation_type,hotel_ryokan,,facilities,2
2007,北大東村,離島,accommodation_type,hotel_ryokan,,facilities,1
2007,伊江村,離島,accommodation_type,hotel_ryokan,,facilities,5
2007,伊平屋村,離島,accommodation_type,hotel_ryokan,,facilities,4
2007,伊是名村,離島,accommodation_type,hotel_ryokan,,facilities,5
2007,離島,未分類,accommodation_type,hotel_ryokan,,facilities,29
2007,沖縄県,未分類,accommodation_type,hotel_ryokan,,facilities,329
2007,那覇市,南部,accommodation_type,hotel_ryokan,,rooms,10837
2007,糸満市,南部,accommodation_type,hotel_ryokan,,rooms,61
2007,豊見城市,南部,accommodation_type,hotel_ryokan,,rooms,0
2007,八重瀬町,南部,accommodation_type,hotel_ryokan,,rooms,51
2007,南城市,南部,accommodation_type,hotel_ryokan,,rooms,110
2007,与那原町,南部,accommodation_type,hotel_ryokan,,rooms,0
2007,南風原町,南部,accommodation_type,hotel_ryokan,,rooms,0
2007,南部,未分類,accommodation_type,hotel_ryokan,,rooms,11059
