year,city,metric,cat1,cat2,table,value
2014,那覇市,facilities,resort_hotel_large,,hotel_breakdown,0
2014,那覇市,rooms,resort_hotel_large,,hotel_breakdown,0
2014,那覇市,capacity,resort_hotel_large,,hotel_breakdown,0
2014,那覇市,facilities,resort_hotel_medium,,hotel_breakdown,0
2014,那覇市,rooms,resort_hotel_medium,,hotel_breakdown,0
2014,那覇市,capacity,resort_hotel_medium,,hotel_breakdown,0
2014,那覇市,facilities,resort_hotel_small,,hotel_breakdown,0
2014,那覇市,rooms,resort_hotel_small,,hotel_breakdown,0
2014,那覇市,capacity,resort_hotel_small,,hotel_breakdown,0
2014,那覇市,facilities,business_hotel_large,,hotel_breakdown,8
2014,那覇市,rooms,business_hotel_large,,hotel_breakdown,2034
2014,那覇市,capacity,business_hotel_large,,hotel_breakdown,3726
2014,那覇市,facilities,business_hotel_medium,,hotel_breakdown,41
2014,那覇市,rooms,business_hotel_medium,,hotel_breakdown,4421
2014,那覇市,capacity,business_hotel_medium,,hotel_breakdown,7022
2014,那覇市,facilities,business_hotel_small,,hotel_breakdown,20
2014,那覇市,rooms,business_hotel_small,,hotel_breakdown,767
2014,那覇市,capacity,business_hotel_small,,hotel_breakdown,1067
2014,那覇市,facilities,city_hotel_large,,hotel_breakdown,19
2014,那覇市,rooms,city_hotel_large,,hotel_breakdown,4786
2014,那覇市,capacity,city_hotel_large,,hotel_breakdown,11651
2014,那覇市,facilities,city_hotel_medium,,hotel_breakdown,11
2014,那覇市,rooms,city_hotel_medium,,hotel_breakdown,1032
2014,那覇市,capacity,city_hotel_medium,,hotel_breakdown,2148
2014,那覇市,facilities,city_hotel_small,,hotel_breakdown,2
2014,那覇市,rooms,city_hotel_small,,hotel_breakdown,17
2014,那覇市,capacity,city_hotel_small,,hotel_breakdown,44
2014,那覇市,facilities,ryokan_large,,hotel_breakdown,0
2014,那覇市,rooms,ryokan_large,,hotel_breakdown,0
2014,那覇市,capacity,ryokan_large,,hotel_breakdown,0
2014,那覇市,facilities,ryokan_medium,,hotel_breakdown,0
2014,那覇市,rooms,ryokan_medium,,hotel_breakdown,0
2014,那覇市,capacity,ryokan_medium,,hotel_breakdown,0
2014,那覇市,facilities,ryokan_small,,hotel_breakdown,1
2014,那覇市,rooms,ryokan_small,,hotel_breakdown,12
2014,那覇市,capacity,ryokan_small,,hotel_breakdown,25
2014,那覇市,facilities,total,,hotel_breakdown,102
2014,那覇市,rooms,total,,hotel_breakdown,13069
2014,那覇市,capacity,total,,hotel_breakdown,25683
2014,糸満市,facilities,resort_hotel_large,,hotel_breakdown,1
2014,糸満市,rooms,resort_hotel_large,,hotel_breakdown,448
2014,糸満市,capacity,resort_hotel_large,,hotel_breakdown,1398
2014,糸満市,facilities,resort_hotel_medium,,hotel_breakdown,1
2014,糸満市,rooms,resort_hotel_medium,,hotel_breakdown,27
2014,糸満市,capacity,resort_hotel_medium,,hotel_breakdown,108
2014,糸満市,facilities,resort_hotel_small,,hotel_breakdown,0
2014,糸満市,rooms,resort_hotel_small,,hotel_breakdown,0
2014,糸満市,capacity,resort_hotel_small,,hotel_breakdown,0
2014,糸満市,facilities,business_hotel_large,,hotel_breakdown,0
2014,糸満市,rooms,business_hotel_large,,hotel_breakdown,0
2014,糸満市,capacity,business_hotel_large,,hotel_breakdown,0
2014,糸満市,facilities,business_hotel_medium,,hotel_breakdown,0
2014,糸満市,rooms,business_hotel_medium,,hotel_breakdown,0
2014,糸満市,capacity,business_hotel_medium,,hotel_breakdown,0
2014,糸満市,facilities,business_hotel_small,,hotel_breakdown,1
2014,糸満市,rooms,business_hotel_small,,hotel_breakdown,18
2014,糸満市,capacity,business_hotel_small,,hotel_breakdown,35
2014,糸満市,facilities,city_hotel_large,,hotel_breakdown,0
2014,糸満市,rooms,city_hotel_large,,hotel_breakdown,0
2014,糸満市,capacity,city_hotel_large,,hotel_breakdown,0
2014,糸満市,facilities,city_hotel_medium,,hotel_breakdown,0
2014,糸満市,rooms,city_hotel_medium,,hotel_breakdown,0
2014,糸満市,capacity,city_hotel_medium,,hotel_breakdown,0
2014,糸満市,facilities,city_hotel_small,,hotel_breakdown,0
2014,糸満市,rooms,city_hotel_small,,hotel_breakdown,0
2014,糸満市,capacity,city_hotel_small,,hotel_breakdown,0
2014,糸満市,facilities,ryokan_large,,hotel_breakdown,0
2014,糸満市,rooms,ryokan_large,,hotel_breakdown,0
2014,糸満市,capacity,ryokan_large,,hotel_breakdown,0
2014,糸満市,facilities,ryokan_medium,,hotel_breakdown,0
2014,糸満市,rooms,ryokan_medium,,hotel_breakdown,0
2014,糸満市,capacity,ryokan_medium,,hotel_breakdown,0
2014,糸満市,facilities,ryokan_small,,hotel_breakdown,0
2014,糸満市,rooms,ryokan_small,,hotel_breakdown,0
2014,糸満市,capacity,ryokan_small,,hotel_breakdown,0
2014,糸満市,facilities,total,,hotel_breakdown,3
2014,糸満市,rooms,total,,hotel_breakdown,493
2014,糸満市,capacity,total,,hotel_breakdown,1541
2014,豊見城市,facilities,resort_hotel_large,,hotel_breakdown,2
2014,豊見城市,rooms,resort_hotel_large,,hotel_breakdown,268
2014,豊見城市,capacity,resort_hotel_large,,hotel_breakdown,687
