year,city,metric,cat1,cat2,table,value
2014,那覇市,facilities,resort_hotel,,hotel_breakdown,0
2014,那覇市,facilities,business_hotel,,hotel_breakdown,0
2014,那覇市,facilities,city_hotel,,hotel_breakdown,0
2014,那覇市,facilities,ryokan,,hotel_breakdown,0
2014,那覇市,facilities,total,,hotel_breakdown,0
2014,那覇市,facilities,large,,hotel_scale_breakdown,0
2014,那覇市,facilities,medium,,hotel_scale_breakdown,0
2014,那覇市,facilities,small,,hotel_scale_breakdown,0
2014,那覇市,facilities,total,,hotel_scale_breakdown,0
2014,那覇市,rooms,resort_hotel,,hotel_breakdown,0
2014,那覇市,rooms,business_hotel,,hotel_breakdown,0
2014,那覇市,rooms,city_hotel,,hotel_breakdown,0
2014,那覇市,rooms,ryokan,,hotel_breakdown,0
2014,那覇市,rooms,total,,hotel_breakdown,0
2014,那覇市,rooms,large,,hotel_scale_breakdown,0
2014,那覇市,rooms,medium,,hotel_scale_breakdown,0
2014,那覇市,rooms,small,,hotel_scale_breakdown,0
2014,那覇市,rooms,total,,hotel_scale_breakdown,0
2014,那覇市,capacity,resort_hotel,,hotel_breakdown,0
2014,那覇市,capacity,business_hotel,,hotel_breakdown,0
2014,那覇市,capacity,city_hotel,,hotel_breakdown,0
2014,那覇市,capacity,ryokan,,hotel_breakdown,0
2014,那覇市,capacity,total,,hotel_breakdown,0
2014,那覇市,capacity,large,,hotel_scale_breakdown,0
2014,那覇市,capacity,medium,,hotel_scale_breakdown,0
2014,那覇市,capacity,small,,hotel_scale_breakdown,0
2014,那覇市,capacity,total,,hotel_scale_breakdown,0
2014,宜野湾市,facilities,resort_hotel,,hotel_breakdown,0
2014,宜野湾市,facilities,business_hotel,,hotel_breakdown,0
2014,宜野湾市,facilities,city_hotel,,hotel_breakdown,0
2014,宜野湾市,facilities,ryokan,,hotel_breakdown,0
2014,宜野湾市,facilities,total,,hotel_breakdown,0
2014,宜野湾市,facilities,large,,hotel_scale_breakdown,0
2014,宜野湾市,facilities,medium,,hotel_scale_breakdown,0
2014,宜野湾市,facilities,small,,hotel_scale_breakdown,0
2014,宜野湾市,facilities,total,,hotel_scale_breakdown,0
2014,宜野湾市,rooms,resort_hotel,,hotel_breakdown,0
2014,宜野湾市,rooms,business_hotel,,hotel_breakdown,0
2014,宜野湾市,rooms,city_hotel,,hotel_breakdown,0
2014,宜野湾市,rooms,ryokan,,hotel_breakdown,0
2014,宜野湾市,rooms,total,,hotel_breakdown,0
2014,宜野湾市,rooms,large,,hotel_scale_breakdown,0
2014,宜野湾市,rooms,medium,,hotel_scale_breakdown,0
2014,宜野湾市,rooms,small,,hotel_scale_breakdown,0
2014,宜野湾市,rooms,total,,hotel_scale_breakdown,0
2014,宜野湾市,capacity,resort_hotel,,hotel_breakdown,0
2014,宜野湾市,capacity,business_hotel,,hotel_breakdown,0
2014,宜野湾市,capacity,city_hotel,,hotel_breakdown,0
2014,宜野湾市,capacity,ryokan,,hotel_breakdown,0
2014,宜野湾市,capacity,total,,hotel_breakdown,0
2014,宜野湾市,capacity,large,,hotel_scale_breakdown,0
2014,宜野湾市,capacity,medium,,hotel_scale_breakdown,0
2014,宜野湾市,capacity,small,,hotel_scale_breakdown,0
2014,宜野湾市,capacity,total,,hotel_scale_breakdown,0
2014,石垣市,facilities,resort_hotel,,hotel_breakdown,0
2014,石垣市,facilities,business_hotel,,hotel_breakdown,0
2014,石垣市,facilities,city_hotel,,hotel_breakdown,0
2014,石垣市,facilities,ryokan,,hotel_breakdown,0
2014,石垣市,facilities,total,,hotel_breakdown,0
2014,石垣市,facilities,large,,hotel_scale_breakdown,0
2014,石垣市,facilities,medium,,hotel_scale_breakdown,0
2014,石垣市,facilities,small,,hotel_scale_breakdown,0
2014,石垣市,facilities,total,,hotel_scale_breakdown,0
2014,石垣市,rooms,resort_hotel,,hotel_breakdown,0
2014,石垣市,rooms,business_hotel,,hotel_breakdown,0
2014,石垣市,rooms,city_hotel,,hotel_breakdown,0
2014,石垣市,rooms,ryokan,,hotel_breakdown,0
2014,石垣市,rooms,total,,hotel_breakdown,0
2014,石垣市,rooms,large,,hotel_scale_breakdown,0
2014,石垣市,rooms,medium,,hotel_scale_breakdown,0
2014,石垣市,rooms,small,,hotel_scale_breakdown,0
2014,石垣市,rooms,total,,hotel_scale_breakdown,0
2014,石垣市,capacity,resort_hotel,,hotel_breakdown,0
2014,石垣市,capacity,business_hotel,,hotel_breakdown,0
2014,石垣市,capacity,city_hotel,,hotel_breakdown,0
2014,石垣市,capacity,ryokan,,hotel_breakdown,0
2014,石垣市,capacity,total,,hotel_breakdown,0
2014,石垣市,capacity,large,,hotel_scale_breakdown,0
2014,石垣市,capacity,medium,,hotel_scale_breakdown,0
2014,石垣市,capacity,small,,hotel_scale_breakdown,0
2014,石垣市,capacity,total,,hotel_scale_breakdown,0
2014,浦添市,facilities,resort_hotel,,hotel_breakdown,0
2014,浦添市,facilities,business_hotel,,hotel_breakdown,0
2014,浦添市,facilities,city_hotel,,hotel_breakdown,0
2014,浦添市,facilities,ryokan,,hotel_breakdown,0
2014,浦添市,facilities,total,,hotel_breakdown,0
2014,浦添市,facilities,large,,hotel_scale_breakdown,0
2014,浦添市,facilities,medium,,hotel_scale_breakdown,0
2014,浦添市,facilities,small,,hotel_scale_breakdown,0
2014,浦添市,facilities,total,,hotel_scale_breakdown,0
2014,浦添市,rooms,resort_hotel,,hotel_breakdown,0
2014,浦添市,rooms,business_hotel,,hotel_breakdown,0
2014,浦添市,rooms,city_hotel,,hotel_breakdown,0
2014,浦添市,rooms,ryokan,,hotel_breakdown,0
2014,浦添市,rooms,total,,hotel_breakdown,0
2014,浦添市,rooms,large,,hotel_scale_breakdown,0
2014,浦添市,rooms,medium,,hotel_scale_breakdown,0
2014,浦添市,rooms,small,,hotel_scale_breakdown,0
2014,浦添市,rooms,total,,hotel_scale_breakdown,0
2014,浦添市,capacity,resort_hotel,,hotel_breakdown,0
2014,浦添市,capacity,business_hotel,,hotel_breakdown,0
2014,浦添市,capacity,city_hotel,,hotel_breakdown,0
2014,浦添市,capacity,ryokan,,hotel_breakdown,0
2014,浦添市,capacity,total,,hotel_breakdown,0
2014,浦添市,capacity,large,,hotel_scale_breakdown,0
2014,浦添市,capacity,medium,,hotel_scale_breakdown,0
2014,浦添市,capacity,small,,hotel_scale_breakdown,0
2014,浦添市,capacity,total,,hotel_scale_breakdown,0
2014,名護市,facilities,resort_hotel,,hotel_breakdown,0
2014,名護市,facilities,business_hotel,,hotel_breakdown,0
2014,名護市,facilities,city_hotel,,hotel_breakdown,0
2014,名護市,facilities,ryokan,,hotel_breakdown,0
2014,名護市,facilities,total,,hotel_breakdown,0
2014,名護市,facilities,large,,hotel_scale_breakdown,0
2014,名護市,facilities,medium,,hotel_scale_breakdown,0
2014,名護市,facilities,small,,hotel_scale_breakdown,0
2014,名護市,facilities,total,,hotel_scale_breakdown,0
2014,名護市,rooms,resort_hotel,,hotel_breakdown,0
2014,名護市,rooms,business_hotel,,hotel_breakdown,0
2014,名護市,rooms,city_hotel,,hotel_breakdown,0
2014,名護市,rooms,ryokan,,hotel_breakdown,0
2014,名護市,rooms,total,,hotel_breakdown,0
2014,名護市,rooms,large,,hotel_scale_breakdown,0
2014,名護市,rooms,medium,,hotel_scale_breakdown,0
2014,名護市,rooms,small,,hotel_scale_breakdown,0
2014,名護市,rooms,total,,hotel_scale_breakdown,0
2014,名護市,capacity,resort_hotel,,hotel_breakdown,0
2014,名護市,capacity,business_hotel,,hotel_breakdown,0
2014,名護市,capacity,city_hotel,,hotel_breakdown,0
2014,名護市,capacity,ryokan,,hotel_breakdown,0
2014,名護市,capacity,total,,hotel_breakdown,0
2014,名護市,capacity,large,,hotel_scale_breakdown,0
2014,名護市,capacity,medium,,hotel_scale_breakdown,0
2014,名護市,capacity,small,,hotel_scale_breakdown,0
2014,名護市,capacity,total,,hotel_scale_breakdown,0
2014,糸満市,facilities,resort_hotel,,hotel_breakdown,0
2014,糸満市,facilities,business_hotel,,hotel_breakdown,0
2014,糸満市,facilities,city_hotel,,hotel_breakdown,0
2014,糸満市,facilities,ryokan,,hotel_breakdown,0
2014,糸満市,facilities,total,,hotel_breakdown,0
2014,糸満市,facilities,large,,hotel_scale_breakdown,0
2014,糸満市,facilities,medium,,hotel_scale_breakdown,0
2014,糸満市,facilities,small,,hotel_scale_breakdown,0
2014,糸満市,facilities,total,,hotel_scale_breakdown,0
2014,糸満市,rooms,resort_hotel,,hotel_breakdown,0
