municipality,value,0,1,cat1,metric,cat2,table,year
那覇市,112,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
糸満市,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
豊見城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
八重瀬町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
南城市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
与那原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
南風原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
南部,120,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
沖縄市,13,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
宜野湾市,4,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
浦添市,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
うるま市,14,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
読谷村,8,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
嘉手納町,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
北谷町,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
北中城村,3,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
中城村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
西原町,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
中部,55,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
名護市,19,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
国頭村,9,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
大宜味村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
東村,2,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
今帰仁村,15,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
本部町,12,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
恩納村,25,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
宜野座村,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
金武町,1,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
北部,84,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
宮古島市,45,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
多良間村,0,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
宮古,45,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
石垣市,45,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
竹富町,18,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
与那国町,7,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
八重山,70,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
久米島町,5,hotel_ryokan,facilities,hotel_ryokan,facilities,,accommodation_type,2016
