year,city,metric,cat1,cat2,table,value
2018,うるま市,capacity,business_hotel_large,,hotel_breakdown,0
2018,うるま市,capacity,business_hotel_medium,,hotel_breakdown,124
2018,うるま市,capacity,business_hotel_small,,hotel_breakdown,356
2018,うるま市,capacity,city_hotel_large,,hotel_breakdown,0
2018,うるま市,capacity,city_hotel_medium,,hotel_breakdown,0
2018,うるま市,capacity,city_hotel_small,,hotel_breakdown,0
2018,うるま市,capacity,resort_hotel_large,,hotel_breakdown,692
2018,うるま市,capacity,resort_hotel_medium,,hotel_breakdown,272
2018,うるま市,capacity,resort_hotel_small,,hotel_breakdown,0
2018,うるま市,capacity,ryokan_large,,hotel_breakdown,0
2018,うるま市,capacity,ryokan_medium,,hotel_breakdown,0
2018,うるま市,capacity,ryokan_small,,hotel_breakdown,50
2018,うるま市,capacity,total,,hotel_breakdown,1494
2018,うるま市,facilities,business_hotel_large,,hotel_breakdown,0
2018,うるま市,facilities,business_hotel_medium,,hotel_breakdown,1
2018,うるま市,facilities,business_hotel_small,,hotel_breakdown,11
2018,うるま市,facilities,city_hotel_large,,hotel_breakdown,0
2018,うるま市,facilities,city_hotel_medium,,hotel_breakdown,0
2018,うるま市,facilities,city_hotel_small,,hotel_breakdown,0
2018,うるま市,facilities,resort_hotel_large,,hotel_breakdown,2
2018,うるま市,facilities,resort_hotel_medium,,hotel_breakdown,2
2018,うるま市,facilities,resort_hotel_small,,hotel_breakdown,0
2018,うるま市,facilities,ryokan_large,,hotel_breakdown,0
2018,うるま市,facilities,ryokan_medium,,hotel_breakdown,0
2018,うるま市,facilities,ryokan_small,,hotel_breakdown,2
2018,うるま市,facilities,total,,hotel_breakdown,18
2018,うるま市,rooms,business_hotel_large,,hotel_breakdown,0
2018,うるま市,rooms,business_hotel_medium,,hotel_breakdown,48
2018,うるま市,rooms,business_hotel_small,,hotel_breakdown,150
2018,うるま市,rooms,city_hotel_large,,hotel_breakdown,0
2018,うるま市,rooms,city_hotel_medium,,hotel_breakdown,0
2018,うるま市,rooms,city_hotel_small,,hotel_breakdown,0
2018,うるま市,rooms,resort_hotel_large,,hotel_breakdown,188
2018,うるま市,rooms,resort_hotel_medium,,hotel_breakdown,55
2018,うるま市,rooms,resort_hotel_small,,hotel_breakdown,0
2018,うるま市,rooms,ryokan_large,,hotel_breakdown,0
2018,うるま市,rooms,ryokan_medium,,hotel_breakdown,0
2018,うるま市,rooms,ryokan_small,,hotel_breakdown,17
2018,うるま市,rooms,total,,hotel_breakdown,458
2018,与那原町,capacity,business_hotel_large,,hotel_breakdown,0
2018,与那原町,capacity,business_hotel_medium,,hotel_breakdown,0
2018,与那原町,capacity,business_hotel_small,,hotel_breakdown,52
2018,与那原町,capacity,city_hotel_large,,hotel_breakdown,0
2018,与那原町,capacity,city_hotel_medium,,hotel_breakdown,0
2018,与那原町,capacity,city_hotel_small,,hotel_breakdown,0
2018,与那原町,capacity,resort_hotel_large,,hotel_breakdown,0
2018,与那原町,capacity,resort_hotel_medium,,hotel_breakdown,0
2018,与那原町,capacity,resort_hotel_small,,hotel_breakdown,0
2018,与那原町,capacity,ryokan_large,,hotel_breakdown,0
2018,与那原町,capacity,ryokan_medium,,hotel_breakdown,0
2018,与那原町,capacity,ryokan_small,,hotel_breakdown,0
2018,与那原町,capacity,total,,hotel_breakdown,52
2018,与那原町,facilities,business_hotel_large,,hotel_breakdown,0
2018,与那原町,facilities,business_hotel_medium,,hotel_breakdown,0
2018,与那原町,facilities,business_hotel_small,,hotel_breakdown,1
2018,与那原町,facilities,city_hotel_large,,hotel_breakdown,0
2018,与那原町,facilities,city_hotel_medium,,hotel_breakdown,0
2018,与那原町,facilities,city_hotel_small,,hotel_breakdown,0
2018,与那原町,facilities,resort_hotel_large,,hotel_breakdown,0
2018,与那原町,facilities,resort_hotel_medium,,hotel_breakdown,0
2018,与那原町,facilities,resort_hotel_small,,hotel_breakdown,0
2018,与那原町,facilities,ryokan_large,,hotel_breakdown,0
2018,与那原町,facilities,ryokan_medium,,hotel_breakdown,0
2018,与那原町,facilities,ryokan_small,,hotel_breakdown,0
2018,与那原町,facilities,total,,hotel_breakdown,1
2018,与那原町,rooms,business_hotel_large,,hotel_breakdown,0
2018,与那原町,rooms,business_hotel_medium,,hotel_breakdown,0
2018,与那原町,rooms,business_hotel_small,,hotel_breakdown,24
2018,与那原町,rooms,city_hotel_large,,hotel_breakdown,0
2018,与那原町,rooms,city_hotel_medium,,hotel_breakdown,0
2018,与那原町,rooms,city_hotel_small,,hotel_breakdown,0
2018,与那原町,rooms,resort_hotel_large,,hotel_breakdown,0
2018,与那原町,rooms,resort_hotel_medium,,hotel_breakdown,0
2018,与那原町,rooms,resort_hotel_small,,hotel_breakdown,0
2018,与那原町,rooms,ryokan_large,,hotel_breakdown,0
2018,与那原町,rooms,ryokan_medium,,hotel_breakdown,0
2018,与那原町,rooms,ryokan_small,,hotel_breakdown,0
2018,与那原町,rooms,total,,hotel_breakdown,24
2018,与那国町,capacity,business_hotel_large,,hotel_breakdown,0
2018,与那国町,capacity,business_hotel_medium,,hotel_breakdown,0
2018,与那国町,capacity,business_hotel_small,,hotel_breakdown,48
2018,与那国町,capacity,city_hotel_large,,hotel_breakdown,0
2018,与那国町,capacity,city_hotel_medium,,hotel_breakdown,249
2018,与那国町,capacity,city_hotel_small,,hotel_breakdown,0
2018,与那国町,capacity,resort_hotel_large,,hotel_breakdown,0
2018,与那国町,capacity,resort_hotel_medium,,hotel_breakdown,0
2018,与那国町,capacity,resort_hotel_small,,hotel_breakdown,0
2018,与那国町,capacity,ryokan_large,,hotel_breakdown,0
2018,与那国町,capacity,ryokan_medium,,hotel_breakdown,0
2018,与那国町,capacity,ryokan_small,,hotel_breakdown,78
2018,与那国町,capacity,total,,hotel_breakdown,375
2018,与那国町,facilities,business_hotel_large,,hotel_breakdown,0
2018,与那国町,facilities,business_hotel_medium,,hotel_breakdown,0
2018,与那国町,facilities,business_hotel_small,,hotel_breakdown,2
2018,与那国町,facilities,city_hotel_large,,hotel_breakdown,0
2018,与那国町,facilities,city_hotel_medium,,hotel_breakdown,1
2018,与那国町,facilities,city_hotel_small,,hotel_breakdown,0
2018,与那国町,facilities,resort_hotel_large,,hotel_breakdown,0
2018,与那国町,facilities,resort_hotel_medium,,hotel_breakdown,0
2018,与那国町,facilities,resort_hotel_small,,hotel_breakdown,0
2018,与那国町,facilities,ryokan_large,,hotel_breakdown,0
2018,与那国町,facilities,ryokan_medium,,hotel_breakdown,0
2018,与那国町,facilities,ryokan_small,,hotel_breakdown,4
2018,与那国町,facilities,total,,hotel_breakdown,7
2018,与那国町,rooms,business_hotel_large,,hotel_breakdown,0
2018,与那国町,rooms,business_hotel_medium,,hotel_breakdown,0
2018,与那国町,rooms,business_hotel_small,,hotel_breakdown,26
2018,与那国町,rooms,city_hotel_large,,hotel_breakdown,0
2018,与那国町,rooms,city_hotel_medium,,hotel_breakdown,77
2018,与那国町,rooms,city_hotel_small,,hotel_breakdown,0
2018,与那国町,rooms,resort_hotel_large,,hotel_breakdown,0
2018,与那国町,rooms,resort_hotel_medium,,hotel_breakdown,0
2018,与那国町,rooms,resort_hotel_small,,hotel_breakdown,0
2018,与那国町,rooms,ryokan_large,,hotel_breakdown,0
2018,与那国町,rooms,ryokan_medium,,hotel_breakdown,0
2018,与那国町,rooms,ryokan_small,,hotel_breakdown,38
2018,与那国町,rooms,total,,hotel_breakdown,141
2018,中城村,capacity,business_hotel_large,,hotel_breakdown,0
2018,中城村,capacity,business_hotel_medium,,hotel_breakdown,0
2018,中城村,capacity,business_hotel_small,,hotel_breakdown,48
2018,中城村,capacity,city_hotel_large,,hotel_breakdown,0
2018,中城村,capacity,city_hotel_medium,,hotel_breakdown,0
2018,中城村,capacity,city_hotel_small,,hotel_breakdown,0
2018,中城村,capacity,resort_hotel_large,,hotel_breakdown,0
2018,中城村,capacity,resort_hotel_medium,,hotel_breakdown,0
2018,中城村,capacity,resort_hotel_small,,hotel_breakdown,0
2018,中城村,capacity,ryokan_large,,hotel_breakdown,0
2018,中城村,capacity,ryokan_medium,,hotel_breakdown,0
2018,中城村,capacity,ryokan_small,,hotel_breakdown,0
2018,中城村,capacity,total,,hotel_breakdown,48
2018,中城村,facilities,business_hotel_large,,hotel_breakdown,0
2018,中城村,facilities,business_hotel_medium,,hotel_breakdown,0
2018,中城村,facilities,business_hotel_small,,hotel_breakdown,1
2018,中城村,facilities,city_hotel_large,,hotel_breakdown,0
2018,中城村,facilities,city_hotel_medium,,hotel_breakdown,0
2018,中城村,facilities,city_hotel_small,,hotel_breakdown,0
2018,中城村,facilities,resort_hotel_large,,hotel_breakdown,0
2018,中城村,facilities,resort_hotel_medium,,hotel_breakdown,0
2018,中城村,facilities,resort_hotel_small,,hotel_breakdown,0
2018,中城村,facilities,ryokan_large,,hotel_breakdown,0
2018,中城村,facilities,ryokan_medium,,hotel_breakdown,0
2018,中城村,facilities,ryokan_small,,hotel_breakdown,0
2018,中城村,facilities,total,,hotel_breakdown,1
2018,中城村,rooms,business_hotel_large,,hotel_breakdown,0
2018,中城村,rooms,business_hotel_medium,,hotel_breakdown,0
2018,中城村,rooms,business_hotel_small,,hotel_breakdown,24
2018,中城村,rooms,city_hotel_large,,hotel_breakdown,0
2018,中城村,rooms,city_hotel_medium,,hotel_breakdown,0
2018,中城村,rooms,city_hotel_small,,hotel_breakdown,0
2018,中城村,rooms,resort_hotel_large,,hotel_breakdown,0
2018,中城村,rooms,resort_hotel_medium,,hotel_breakdown,0
2018,中城村,rooms,resort_hotel_small,,hotel_breakdown,0
2018,中城村,rooms,ryokan_large,,hotel_breakdown,0
2018,中城村,rooms,ryokan_medium,,hotel_breakdown,0
2018,中城村,rooms,ryokan_small,,hotel_breakdown,0
2018,中城村,rooms,total,,hotel_breakdown,24
2018,中部,capacity,business_hotel_large,,hotel_breakdown,0
2018,中部,capacity,business_hotel_medium,,hotel_breakdown,1169
2018,中部,capacity,business_hotel_small,,hotel_breakdown,2179
2018,中部,capacity,city_hotel_large,,hotel_breakdown,0
2018,中部,capacity,city_hotel_medium,,hotel_breakdown,0
2018,中部,capacity,city_hotel_small,,hotel_breakdown,54
2018,中部,capacity,resort_hotel_large,,hotel_breakdown,9597
2018,中部,capacity,resort_hotel_medium,,hotel_breakdown,1287
2018,中部,capacity,resort_hotel_small,,hotel_breakdown,144
2018,中部,capacity,ryokan_large,,hotel_breakdown,0
2018,中部,capacity,ryokan_medium,,hotel_breakdown,0
2018,中部,capacity,ryokan_small,,hotel_breakdown,50
2018,中部,capacity,total,,hotel_breakdown,14480
2018,中部,facilities,business_hotel_large,,hotel_breakdown,0
2018,中部,facilities,business_hotel_medium,,hotel_breakdown,8
2018,中部,facilities,business_hotel_small,,hotel_breakdown,56
